fotmob_player_id,sportsapi_player_id,player_name,team_name,competition_name,season_name,tournament_id,season_id,heatmap_key,activity_filter,in_box_ratio,out_box_final_ratio,mid_third_ratio,final_third_ratio,sample_points,generated_at
1092731,1002461,Joel Chima Fujita,,Bundesliga,2025/2026,35,77333,1092731:35:77333,cluster-v1,3,33,64,36,1253,2026-08-08T00:45:24.812943+00:00
1402900,1100836,Samuel Mbangula,,Bundesliga,2025/2026,35,77333,1402900:35:77333,cluster-v1,6,43,51,49,472,2026-08-08T00:45:26.789220+00:00
620027,791079,Xaver Schlager,,Bundesliga,2025/2026,35,77333,620027:35:77333,cluster-v1,2,22,76,24,992,2026-08-08T00:45:28.911190+00:00
978680,927340,Han-Noah Massengo,,Bundesliga,2025/2026,35,77333,978680:35:77333,cluster-v1,0,21,79,21,984,2026-08-08T00:45:31.091671+00:00
1089685,994556,Carney Chukwuemeka,,Bundesliga,2025/2026,35,77333,1089685:35:77333,cluster-v1,4,49,47,53,369,2026-08-08T00:45:33.095702+00:00
1515977,1462742,Ilyas Ansah,,Bundesliga,2025/2026,35,77333,1515977:35:77333,cluster-v1,10,48,42,58,645,2026-08-08T00:45:35.171641+00:00
1203194,1088896,Johan Bakayoko,,Bundesliga,2025/2026,35,77333,1203194:35:77333,cluster-v1,10,44,46,54,299,2026-08-08T00:45:37.145377+00:00
901495,901892,Albert Sambi Lokonga,,Bundesliga,2025/2026,35,77333,901495:35:77333,cluster-v1,4,16,80,20,617,2026-08-08T00:45:39.294220+00:00
530197,280551,Manolis Saliakas,,Bundesliga,2025/2026,35,77333,530197:35:77333,cluster-v1,1,44,55,45,448,2026-08-08T00:45:41.049884+00:00
1188890,1064305,Nicolai Remberg,,Bundesliga,2025/2026,35,77333,1188890:35:77333,cluster-v1,1,10,89,11,989,2026-08-08T00:45:45.195629+00:00
304348,149479,Rani Khedira,,Bundesliga,2025/2026,35,77333,304348:35:77333,cluster-v1,2,27,71,29,684,2026-08-08T00:45:49.328917+00:00
523749,537552,Jae-sung Lee,,Bundesliga,2025/2026,35,77333,523749:35:77333,cluster-v1,7,31,62,38,764,2026-08-08T00:45:51.560020+00:00
992060,930272,Tom Krauß,,Bundesliga,2025/2026,35,77333,992060:35:77333,cluster-v1,0,22,78,22,780,2026-08-08T00:45:53.666585+00:00
